"","DESC_UNIDAD_RESPONSABLE","sex","niv_sueldo","n()"
"39","Agencia Digital de Innovación Pública (ADIP)",NA,1,1
"40","Agencia Digital de Innovación Pública (ADIP)",NA,2,14
"41","Agencia Digital de Innovación Pública (ADIP)",NA,3,1
"42","Agencia Digital de Innovación Pública (ADIP)",NA,4,1
"43","Agencia Digital de Innovación Pública (ADIP)",NA,5,2
"44","Agencia Digital de Innovación Pública (ADIP)",NA,6,1
"45","Agencia Digital de Innovación Pública (ADIP)",NA,7,1
"46","Alcaldía Álvaro Obregón","H",1,2977
"47","Alcaldía Álvaro Obregón","H",2,545
"48","Alcaldía Álvaro Obregón","H",3,51
"49","Alcaldía Álvaro Obregón","H",4,27
"50","Alcaldía Álvaro Obregón","H",5,31
"51","Alcaldía Álvaro Obregón","H",6,17
"52","Alcaldía Álvaro Obregón","H",9,8
"53","Alcaldía Álvaro Obregón","H",11,1
"54","Alcaldía Álvaro Obregón","M",1,1842
"55","Alcaldía Álvaro Obregón","M",2,370
"56","Alcaldía Álvaro Obregón","M",3,45
"57","Alcaldía Álvaro Obregón","M",4,27
"58","Alcaldía Álvaro Obregón","M",5,17
"59","Alcaldía Álvaro Obregón","M",6,12
"60","Alcaldía Álvaro Obregón","M",9,3
"61","Alcaldía Álvaro Obregón","M",10,2
"62","Alcaldía Álvaro Obregón",NA,1,90
"63","Alcaldía Álvaro Obregón",NA,2,16
"64","Alcaldía Álvaro Obregón",NA,3,5
"65","Alcaldía Álvaro Obregón",NA,4,1
"66","Alcaldía Álvaro Obregón",NA,5,3
"67","Alcaldía Álvaro Obregón",NA,9,1
"68","Alcaldía Azcapotzalco","H",1,2218
"69","Alcaldía Azcapotzalco","H",2,493
"70","Alcaldía Azcapotzalco","H",3,46
"71","Alcaldía Azcapotzalco","H",4,14
"72","Alcaldía Azcapotzalco","H",5,15
"73","Alcaldía Azcapotzalco","H",6,10
"74","Alcaldía Azcapotzalco","H",7,1
"75","Alcaldía Azcapotzalco","H",8,2
"76","Alcaldía Azcapotzalco","H",9,4
"77","Alcaldía Azcapotzalco","H",10,1
"78","Alcaldía Azcapotzalco","M",1,1606
"79","Alcaldía Azcapotzalco","M",2,374
"80","Alcaldía Azcapotzalco","M",3,26
"81","Alcaldía Azcapotzalco","M",4,15
"82","Alcaldía Azcapotzalco","M",5,13
"83","Alcaldía Azcapotzalco","M",6,8
"84","Alcaldía Azcapotzalco","M",8,1
"85","Alcaldía Azcapotzalco","M",9,3
"86","Alcaldía Azcapotzalco",NA,1,89
"87","Alcaldía Azcapotzalco",NA,2,19
"88","Alcaldía Azcapotzalco",NA,3,1
"89","Alcaldía Azcapotzalco",NA,4,1
"90","Alcaldía Azcapotzalco",NA,5,2
"91","Alcaldía Azcapotzalco",NA,9,1
"92","Alcaldía Benito Juárez","H",1,2643
"93","Alcaldía Benito Juárez","H",2,837
"94","Alcaldía Benito Juárez","H",3,63
"95","Alcaldía Benito Juárez","H",4,31
"96","Alcaldía Benito Juárez","H",5,12
"97","Alcaldía Benito Juárez","H",6,15
"98","Alcaldía Benito Juárez","H",7,2
"99","Alcaldía Benito Juárez","H",10,4
"100","Alcaldía Benito Juárez","H",11,1
"101","Alcaldía Benito Juárez","M",1,1404
"102","Alcaldía Benito Juárez","M",2,728
"103","Alcaldía Benito Juárez","M",3,35
"104","Alcaldía Benito Juárez","M",4,28
"105","Alcaldía Benito Juárez","M",5,4
"106","Alcaldía Benito Juárez","M",6,3
"107","Alcaldía Benito Juárez","M",10,2
"108","Alcaldía Benito Juárez",NA,1,95
"109","Alcaldía Benito Juárez",NA,2,40
"110","Alcaldía Benito Juárez",NA,3,2
"111","Alcaldía Benito Juárez",NA,4,1
"112","Alcaldía Benito Juárez",NA,5,2
"113","Alcaldía Coyoacán","H",1,3199
"114","Alcaldía Coyoacán","H",2,563
"115","Alcaldía Coyoacán","H",3,58
"116","Alcaldía Coyoacán","H",4,42
"117","Alcaldía Coyoacán","H",5,6
"118","Alcaldía Coyoacán","H",6,12
"119","Alcaldía Coyoacán","H",8,1
"120","Alcaldía Coyoacán","H",10,8
"121","Alcaldía Coyoacán","H",11,1
"122","Alcaldía Coyoacán","M",1,2186
"123","Alcaldía Coyoacán","M",2,403
"124","Alcaldía Coyoacán","M",3,44
"125","Alcaldía Coyoacán","M",4,43
"126","Alcaldía Coyoacán","M",5,2
"127","Alcaldía Coyoacán","M",6,4
"128","Alcaldía Coyoacán","M",7,1
"129","Alcaldía Coyoacán","M",8,1
"130","Alcaldía Coyoacán","M",10,1
"131","Alcaldía Coyoacán",NA,1,125
"132","Alcaldía Coyoacán",NA,2,24
"133","Alcaldía Coyoacán",NA,3,4
"134","Alcaldía Coyoacán",NA,4,4
"135","Alcaldía Cuajimalpa De Morelos","H",1,1645
"136","Alcaldía Cuajimalpa De Morelos","H",2,472
"137","Alcaldía Cuajimalpa De Morelos","H",3,49
"138","Alcaldía Cuajimalpa De Morelos","H",4,30
"139","Alcaldía Cuajimalpa De Morelos","H",6,16
"140","Alcaldía Cuajimalpa De Morelos","H",7,1
"141","Alcaldía Cuajimalpa De Morelos","H",10,3
"142","Alcaldía Cuajimalpa De Morelos","H",11,1
"143","Alcaldía Cuajimalpa De Morelos","M",1,1537
"144","Alcaldía Cuajimalpa De Morelos","M",2,409
"145","Alcaldía Cuajimalpa De Morelos","M",3,13
"146","Alcaldía Cuajimalpa De Morelos","M",4,18
"147","Alcaldía Cuajimalpa De Morelos","M",5,1
"148","Alcaldía Cuajimalpa De Morelos","M",6,3
"149","Alcaldía Cuajimalpa De Morelos","M",10,2
"150","Alcaldía Cuajimalpa De Morelos",NA,1,58
"151","Alcaldía Cuajimalpa De Morelos",NA,2,14
"152","Alcaldía Cuajimalpa De Morelos",NA,3,3
"153","Alcaldía Cuajimalpa De Morelos",NA,4,1
"154","Alcaldía Cuajimalpa De Morelos",NA,6,1
"155","Alcaldía Cuauhtémoc","H",1,3981
"156","Alcaldía Cuauhtémoc","H",2,1203
"157","Alcaldía Cuauhtémoc","H",3,62
"158","Alcaldía Cuauhtémoc","H",4,51
"159","Alcaldía Cuauhtémoc","H",5,3
"160","Alcaldía Cuauhtémoc","H",6,12
"161","Alcaldía Cuauhtémoc","H",10,6
"162","Alcaldía Cuauhtémoc","H",11,1
"163","Alcaldía Cuauhtémoc","M",1,2821
"164","Alcaldía Cuauhtémoc","M",2,854
"165","Alcaldía Cuauhtémoc","M",3,52
"166","Alcaldía Cuauhtémoc","M",4,44
"167","Alcaldía Cuauhtémoc","M",5,2
"168","Alcaldía Cuauhtémoc","M",6,13
"169","Alcaldía Cuauhtémoc","M",10,3
"170","Alcaldía Cuauhtémoc",NA,1,135
"171","Alcaldía Cuauhtémoc",NA,2,42
"172","Alcaldía Cuauhtémoc",NA,3,4
"173","Alcaldía Cuauhtémoc",NA,6,1
"174","Alcaldía Gustavo A. Madero","H",1,4547
"175","Alcaldía Gustavo A. Madero","H",2,1161
"176","Alcaldía Gustavo A. Madero","H",3,99
"177","Alcaldía Gustavo A. Madero","H",4,17
"178","Alcaldía Gustavo A. Madero","H",5,34
"179","Alcaldía Gustavo A. Madero","H",6,21
"180","Alcaldía Gustavo A. Madero","H",7,7
"181","Alcaldía Gustavo A. Madero","H",8,5
"182","Alcaldía Gustavo A. Madero","H",9,1
"183","Alcaldía Gustavo A. Madero","H",10,5
"184","Alcaldía Gustavo A. Madero","H",11,1
"185","Alcaldía Gustavo A. Madero","M",1,3353
"186","Alcaldía Gustavo A. Madero","M",2,878
"187","Alcaldía Gustavo A. Madero","M",3,70
"188","Alcaldía Gustavo A. Madero","M",4,28
"189","Alcaldía Gustavo A. Madero","M",5,18
"190","Alcaldía Gustavo A. Madero","M",6,4
"191","Alcaldía Gustavo A. Madero","M",7,4
"192","Alcaldía Gustavo A. Madero","M",8,1
"193","Alcaldía Gustavo A. Madero","M",10,2
"194","Alcaldía Gustavo A. Madero",NA,1,138
"195","Alcaldía Gustavo A. Madero",NA,2,55
"196","Alcaldía Gustavo A. Madero",NA,3,1
"197","Alcaldía Gustavo A. Madero",NA,4,1
"198","Alcaldía Iztacalco","H",1,2252
"199","Alcaldía Iztacalco","H",2,692
"200","Alcaldía Iztacalco","H",3,48
"201","Alcaldía Iztacalco","H",4,33
"202","Alcaldía Iztacalco","H",5,6
"203","Alcaldía Iztacalco","H",6,8
"204","Alcaldía Iztacalco","H",7,2
"205","Alcaldía Iztacalco","H",9,2
"206","Alcaldía Iztacalco","H",10,3
"207","Alcaldía Iztacalco","H",11,1
"208","Alcaldía Iztacalco","M",1,1684
"209","Alcaldía Iztacalco","M",2,533
"210","Alcaldía Iztacalco","M",3,32
"211","Alcaldía Iztacalco","M",4,20
"212","Alcaldía Iztacalco","M",6,8
"213","Alcaldía Iztacalco","M",7,1
"214","Alcaldía Iztacalco","M",9,1
"215","Alcaldía Iztacalco",NA,1,88
"216","Alcaldía Iztacalco",NA,2,30
"217","Alcaldía Iztacalco",NA,3,2
"218","Alcaldía Iztacalco",NA,4,1
"219","Alcaldía Iztapalapa","H",1,5658
"220","Alcaldía Iztapalapa","H",2,912
"221","Alcaldía Iztapalapa","H",3,192
"222","Alcaldía Iztapalapa","H",4,21
"223","Alcaldía Iztapalapa","H",5,27
"224","Alcaldía Iztapalapa","H",6,9
"225","Alcaldía Iztapalapa","H",9,6
"226","Alcaldía Iztapalapa","M",1,4247
"227","Alcaldía Iztapalapa","M",2,685
"228","Alcaldía Iztapalapa","M",3,124
"229","Alcaldía Iztapalapa","M",4,15
"230","Alcaldía Iztapalapa","M",5,14
"231","Alcaldía Iztapalapa","M",6,9
"232","Alcaldía Iztapalapa","M",7,2
"233","Alcaldía Iztapalapa","M",9,2
"234","Alcaldía Iztapalapa","M",11,1
"235","Alcaldía Iztapalapa",NA,1,201
"236","Alcaldía Iztapalapa",NA,2,39
"237","Alcaldía Iztapalapa",NA,3,11
"238","Alcaldía Iztapalapa",NA,4,1
"239","Alcaldía Iztapalapa",NA,5,3
"240","Alcaldía Iztapalapa",NA,7,1
"241","Alcaldía La Magdalena Contreras","H",1,1735
"242","Alcaldía La Magdalena Contreras","H",2,262
"243","Alcaldía La Magdalena Contreras","H",3,52
"244","Alcaldía La Magdalena Contreras","H",4,37
"245","Alcaldía La Magdalena Contreras","H",5,10
"246","Alcaldía La Magdalena Contreras","H",6,6
"247","Alcaldía La Magdalena Contreras","H",9,5
"248","Alcaldía La Magdalena Contreras","M",1,1365
"249","Alcaldía La Magdalena Contreras","M",2,206
"250","Alcaldía La Magdalena Contreras","M",3,32
"251","Alcaldía La Magdalena Contreras","M",4,24
"252","Alcaldía La Magdalena Contreras","M",5,4
"253","Alcaldía La Magdalena Contreras","M",6,2
"254","Alcaldía La Magdalena Contreras","M",9,3
"255","Alcaldía La Magdalena Contreras","M",11,1
"256","Alcaldía La Magdalena Contreras",NA,1,61
"257","Alcaldía La Magdalena Contreras",NA,2,6
"258","Alcaldía La Magdalena Contreras",NA,3,1
"259","Alcaldía La Magdalena Contreras",NA,4,1
"260","Alcaldía Miguel Hidalgo","H",1,2564
"261","Alcaldía Miguel Hidalgo","H",2,459
"262","Alcaldía Miguel Hidalgo","H",3,165
"263","Alcaldía Miguel Hidalgo","H",4,29
"264","Alcaldía Miguel Hidalgo","H",5,22
"265","Alcaldía Miguel Hidalgo","H",6,3
"266","Alcaldía Miguel Hidalgo","H",8,7
"267","Alcaldía Miguel Hidalgo","H",10,3
"268","Alcaldía Miguel Hidalgo","H",11,1
"269","Alcaldía Miguel Hidalgo","M",1,1415
"270","Alcaldía Miguel Hidalgo","M",2,329
"271","Alcaldía Miguel Hidalgo","M",3,99
"272","Alcaldía Miguel Hidalgo","M",4,16
"273","Alcaldía Miguel Hidalgo","M",5,18
"274","Alcaldía Miguel Hidalgo","M",6,5
"275","Alcaldía Miguel Hidalgo","M",8,1
"276","Alcaldía Miguel Hidalgo",NA,1,59
"277","Alcaldía Miguel Hidalgo",NA,2,8
"278","Alcaldía Miguel Hidalgo",NA,3,9
"279","Alcaldía Miguel Hidalgo",NA,4,3
"280","Alcaldía Miguel Hidalgo",NA,5,2
"281","Alcaldía Miguel Hidalgo",NA,10,1
"282","Alcaldía Milpa Alta","H",1,1717
"283","Alcaldía Milpa Alta","H",2,328
"284","Alcaldía Milpa Alta","H",3,53
"285","Alcaldía Milpa Alta","H",4,25
"286","Alcaldía Milpa Alta","H",5,2
"287","Alcaldía Milpa Alta","H",6,8
"288","Alcaldía Milpa Alta","H",9,3
"289","Alcaldía Milpa Alta","H",11,1
"290","Alcaldía Milpa Alta","M",1,1348
"291","Alcaldía Milpa Alta","M",2,207
"292","Alcaldía Milpa Alta","M",3,20
"293","Alcaldía Milpa Alta","M",4,15
"294","Alcaldía Milpa Alta","M",5,2
"295","Alcaldía Milpa Alta","M",6,7
"296","Alcaldía Milpa Alta","M",9,2
"297","Alcaldía Milpa Alta",NA,1,93
"298","Alcaldía Milpa Alta",NA,2,12
"299","Alcaldía Milpa Alta",NA,3,2
"300","Alcaldía Milpa Alta",NA,4,1
"301","Alcaldía Milpa Alta",NA,9,1
"302","Alcaldía Tláhuac","H",1,2023
"303","Alcaldía Tláhuac","H",2,482
"304","Alcaldía Tláhuac","H",3,62
"305","Alcaldía Tláhuac","H",4,20
"306","Alcaldía Tláhuac","H",6,18
"307","Alcaldía Tláhuac","H",7,1
"308","Alcaldía Tláhuac","H",9,4
"309","Alcaldía Tláhuac","H",11,1
"310","Alcaldía Tláhuac","M",1,1890
"311","Alcaldía Tláhuac","M",2,371
"312","Alcaldía Tláhuac","M",3,37
"313","Alcaldía Tláhuac","M",4,17
"314","Alcaldía Tláhuac","M",6,6
"315","Alcaldía Tláhuac","M",7,1
"316","Alcaldía Tláhuac","M",9,3
"317","Alcaldía Tláhuac",NA,1,82
"318","Alcaldía Tláhuac",NA,2,16
"319","Alcaldía Tláhuac",NA,3,1
"320","Alcaldía Tláhuac",NA,4,2
"321","Alcaldía Tlalpan","H",1,2322
"322","Alcaldía Tlalpan","H",2,595
"323","Alcaldía Tlalpan","H",3,68
"324","Alcaldía Tlalpan","H",4,35
"325","Alcaldía Tlalpan","H",5,4
"326","Alcaldía Tlalpan","H",6,11
"327","Alcaldía Tlalpan","H",7,3
"328","Alcaldía Tlalpan","H",8,1
"329","Alcaldía Tlalpan","H",9,4
"330","Alcaldía Tlalpan","M",1,1548
"331","Alcaldía Tlalpan","M",2,466
"332","Alcaldía Tlalpan","M",3,45
"333","Alcaldía Tlalpan","M",4,26
"334","Alcaldía Tlalpan","M",5,5
"335","Alcaldía Tlalpan","M",6,11
"336","Alcaldía Tlalpan","M",9,5
"337","Alcaldía Tlalpan","M",11,1
"338","Alcaldía Tlalpan",NA,1,81
"339","Alcaldía Tlalpan",NA,2,33
"340","Alcaldía Tlalpan",NA,3,5
"341","Alcaldía Tlalpan",NA,4,3
"342","Alcaldía Venustiano Carranza","H",1,3569
"343","Alcaldía Venustiano Carranza","H",2,891
"344","Alcaldía Venustiano Carranza","H",3,79
"345","Alcaldía Venustiano Carranza","H",4,54
"346","Alcaldía Venustiano Carranza","H",5,4
"347","Alcaldía Venustiano Carranza","H",6,11
"348","Alcaldía Venustiano Carranza","H",7,4
"349","Alcaldía Venustiano Carranza","H",9,5
"350","Alcaldía Venustiano Carranza","H",11,1
"351","Alcaldía Venustiano Carranza","M",1,2881
"352","Alcaldía Venustiano Carranza","M",2,706
"353","Alcaldía Venustiano Carranza","M",3,50
"354","Alcaldía Venustiano Carranza","M",4,35
"355","Alcaldía Venustiano Carranza","M",5,2
"356","Alcaldía Venustiano Carranza","M",6,6
"357","Alcaldía Venustiano Carranza","M",7,2
"358","Alcaldía Venustiano Carranza","M",9,1
"359","Alcaldía Venustiano Carranza",NA,1,117
"360","Alcaldía Venustiano Carranza",NA,2,22
"361","Alcaldía Venustiano Carranza",NA,3,2
"362","Alcaldía Venustiano Carranza",NA,4,1
"363","Alcaldía Xochimilco","H",1,2814
"364","Alcaldía Xochimilco","H",2,431
"365","Alcaldía Xochimilco","H",3,47
"366","Alcaldía Xochimilco","H",4,33
"367","Alcaldía Xochimilco","H",6,10
"368","Alcaldía Xochimilco","H",9,2
"369","Alcaldía Xochimilco","H",10,3
"370","Alcaldía Xochimilco","H",11,1
"371","Alcaldía Xochimilco","M",1,1850
"372","Alcaldía Xochimilco","M",2,276
"373","Alcaldía Xochimilco","M",3,31
"374","Alcaldía Xochimilco","M",4,26
"375","Alcaldía Xochimilco","M",5,1
"376","Alcaldía Xochimilco","M",6,3
"377","Alcaldía Xochimilco","M",7,1
"378","Alcaldía Xochimilco","M",10,3
"379","Alcaldía Xochimilco",NA,1,125
"380","Alcaldía Xochimilco",NA,2,24
"381","Alcaldía Xochimilco",NA,4,2
"382","Alcaldía Xochimilco",NA,6,3
"383","Autoridad Del Centro Histórico","H",1,11
"384","Autoridad Del Centro Histórico","H",2,10
"385","Autoridad Del Centro Histórico","H",3,5
"386","Autoridad Del Centro Histórico","H",4,2
"387","Autoridad Del Centro Histórico","H",5,1
"388","Autoridad Del Centro Histórico","H",8,2
"389","Autoridad Del Centro Histórico","M",1,12
"390","Autoridad Del Centro Histórico","M",2,11
"391","Autoridad Del Centro Histórico","M",3,3
"392","Autoridad Del Centro Histórico","M",4,1
"393","Autoridad Del Centro Histórico",NA,1,1
"394","Autoridad Del Centro Histórico",NA,8,1
"395","Autoridad Del Centro Histórico",NA,10,1
"396","Caja de previsión de la policía auxiliar","H",1,32
"397","Caja de previsión de la policía auxiliar","H",2,20
"398","Caja de previsión de la policía auxiliar","H",3,10
"399","Caja de previsión de la policía auxiliar","H",4,4
"400","Caja de previsión de la policía auxiliar","H",6,3
"401","Caja de previsión de la policía auxiliar","H",10,1
"402","Caja de previsión de la policía auxiliar","M",1,34
"403","Caja de previsión de la policía auxiliar","M",2,24
"404","Caja de previsión de la policía auxiliar","M",3,5
"405","Caja de previsión de la policía auxiliar","M",4,3
"406","Caja de previsión de la policía auxiliar",NA,1,3
"407","Caja de previsión de la policía auxiliar",NA,2,1
"408","Caja de previsión de la policía auxiliar",NA,3,1
"409","Caja de previsión de la policía preventiva","H",1,2
"410","Caja de previsión de la policía preventiva","H",2,19
"411","Caja de previsión de la policía preventiva","M",1,2
"412","Caja de previsión de la policía preventiva","M",2,10
"413","Caja de previsión de la policía preventiva",NA,2,3
"414","Caja de previsión para trabajadores a lista de raya","H",1,17
"415","Caja de previsión para trabajadores a lista de raya","H",2,10
"416","Caja de previsión para trabajadores a lista de raya","M",1,21
"417","Caja de previsión para trabajadores a lista de raya","M",2,2
"418","Caja de previsión para trabajadores a lista de raya",NA,1,1
"419","Caja de previsión para trabajadores a lista de raya",NA,2,1
"420","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","H",2,175
"421","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","H",3,40
"422","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","H",4,11
"423","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","H",6,7
"424","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","H",10,2
"425","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","H",11,1
"426","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","M",2,233
"427","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","M",3,20
"428","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","M",4,8
"429","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","M",5,1
"430","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","M",6,2
"431","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","M",8,1
"432","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)","M",10,1
"433","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)",NA,2,13
"434","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)",NA,3,1
"435","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)",NA,4,1
"436","Comisión de Búsqueda de Personas de La Ciudad De México","H",3,1
"437","Comisión de Búsqueda de Personas de La Ciudad De México","H",4,1
"438","Comisión de Búsqueda de Personas de La Ciudad De México","H",6,1
"439","Comisión de Búsqueda de Personas de La Ciudad De México","M",2,2
"440","Comisión de Búsqueda de Personas de La Ciudad De México","M",4,2
"441","Comisión de Búsqueda de Personas de La Ciudad De México","M",6,1
"442","Comisión de Búsqueda de Personas de La Ciudad De México",NA,10,1
"443","Consejería Jurídica y De Servicios Legales","H",1,751
"444","Consejería Jurídica y De Servicios Legales","H",2,786
"445","Consejería Jurídica y De Servicios Legales","H",3,603
"446","Consejería Jurídica y De Servicios Legales","H",4,18
"447","Consejería Jurídica y De Servicios Legales","H",5,1
"448","Consejería Jurídica y De Servicios Legales","H",6,6
"449","Consejería Jurídica y De Servicios Legales","H",7,1
"450","Consejería Jurídica y De Servicios Legales","H",8,3
"451","Consejería Jurídica y De Servicios Legales","H",10,3
"452","Consejería Jurídica y De Servicios Legales","H",11,1
"453","Consejería Jurídica y De Servicios Legales","M",1,953
"454","Consejería Jurídica y De Servicios Legales","M",2,979
"455","Consejería Jurídica y De Servicios Legales","M",3,527
"456","Consejería Jurídica y De Servicios Legales","M",4,14
"457","Consejería Jurídica y De Servicios Legales","M",5,3
"458","Consejería Jurídica y De Servicios Legales","M",6,6
"459","Consejería Jurídica y De Servicios Legales","M",10,2
"460","Consejería Jurídica y De Servicios Legales",NA,1,58
"461","Consejería Jurídica y De Servicios Legales",NA,2,34
"462","Consejería Jurídica y De Servicios Legales",NA,3,31
"463","Consejería Jurídica y De Servicios Legales",NA,4,1
"464","Consejería Jurídica y De Servicios Legales",NA,5,1
"465","Consejería Jurídica y De Servicios Legales",NA,6,1
"466","Consejo de Evaluación Del Desarrollo Social","H",2,4
"467","Consejo de Evaluación Del Desarrollo Social","H",3,11
"468","Consejo de Evaluación Del Desarrollo Social","H",4,1
"469","Consejo de Evaluación Del Desarrollo Social","M",2,3
"470","Consejo de Evaluación Del Desarrollo Social","M",3,6
"471","Consejo de Evaluación Del Desarrollo Social","M",4,2
"472","Consejo Para Prevenir Y Eliminar La Discriminación","H",1,1
"473","Consejo Para Prevenir Y Eliminar La Discriminación","H",2,1
"474","Consejo Para Prevenir Y Eliminar La Discriminación","M",2,1
"475","Consejo Para Prevenir Y Eliminar La Discriminación",NA,2,1
"476","Escuela de Administración Pública","H",2,6
"477","Escuela de Administración Pública","H",3,3
"478","Escuela de Administración Pública","H",4,1
"479","Escuela de Administración Pública","M",2,5
"480","Escuela de Administración Pública","M",3,5
"481","Fideicomiso Educación Garantizada","H",1,12
"482","Fideicomiso Educación Garantizada","H",2,24
"483","Fideicomiso Educación Garantizada","H",3,10
"484","Fideicomiso Educación Garantizada","H",4,4
"485","Fideicomiso Educación Garantizada","H",6,1
"486","Fideicomiso Educación Garantizada","M",1,22
"487","Fideicomiso Educación Garantizada","M",2,36
"488","Fideicomiso Educación Garantizada","M",3,9
"489","Fideicomiso Educación Garantizada","M",4,1
"490","Fideicomiso Educación Garantizada","M",5,2
"491","Fideicomiso Educación Garantizada","M",6,3
"492","Fideicomiso Educación Garantizada","M",10,1
"493","Fideicomiso Educación Garantizada",NA,1,1
"494","Fideicomiso Educación Garantizada",NA,2,1
"495","Fideicomiso Educación Garantizada",NA,3,1
"496","Fideicomiso Educación Garantizada",NA,4,2
"497","Fideicomiso Museo De Arte Popular Mexicano","H",1,14
"498","Fideicomiso Museo De Arte Popular Mexicano","H",2,20
"499","Fideicomiso Museo De Arte Popular Mexicano","H",4,6
"500","Fideicomiso Museo De Arte Popular Mexicano","M",1,10
"501","Fideicomiso Museo De Arte Popular Mexicano","M",2,9
"502","Fideicomiso Museo De Arte Popular Mexicano","M",4,2
"503","Fideicomiso Museo De Arte Popular Mexicano",NA,2,1
"504","Fideicomiso Museo De Arte Popular Mexicano",NA,9,1
"505","Fideicomiso Museo Del Estanquillo","H",2,1
"506","Fideicomiso Museo Del Estanquillo","H",3,1
"507","Fideicomiso Museo Del Estanquillo","H",4,1
"508","Fideicomiso Museo Del Estanquillo","H",5,2
"509","Fideicomiso Museo Del Estanquillo","M",1,1
"510","Fideicomiso Museo Del Estanquillo","M",2,2
"511","Fideicomiso Museo Del Estanquillo","M",4,1
"512","Fideicomiso Museo Del Estanquillo",NA,5,1
"513","Fideicomiso Museo Del Estanquillo",NA,9,1
"514","Fideicomiso Para La Promoción Y Desarrollo Del Cine Mexicano","H",4,1
"515","Fideicomiso Para La Promoción Y Desarrollo Del Cine Mexicano","H",9,1
"516","Fideicomiso Para La Promoción Y Desarrollo Del Cine Mexicano","M",4,1
"517","Fideicomiso Para La Promoción Y Desarrollo Del Cine Mexicano","M",5,1
"518","Fideicomiso para la Reconstrucción Integral de la Ciudad de México","H",3,2
"519","Fideicomiso para la Reconstrucción Integral de la Ciudad de México","H",7,1
"520","Fideicomiso para la Reconstrucción Integral de la Ciudad de México","M",4,2
"521","Fiscalía General De Justicia","H",1,692
"522","Fiscalía General De Justicia","H",2,3120
"523","Fiscalía General De Justicia","H",3,4196
"524","Fiscalía General De Justicia","H",4,297
"525","Fiscalía General De Justicia","H",5,15
